filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
syn_Phe_1.fast5	0ef7e751-f32f-4526-a1e1-af977042de7b	255df16481063836675a0ad8c02ffded518d5b3d	0	50	1	6544.356906	4.816069	1450	FALSE	6546.874502	692	2.298473	50	3.457762	0.000000	96.044136	10.640861	96.044136	10.640861
syn_Lys_1.fast5	0f4fdd46-4992-49fe-ae75-1f5edb72b07c	3d06a337b79be864b165e634cc81fafe50139aed	0	158	2	3084.375498	4.197875	1264	FALSE	3084.514608	1222	4.058765	124	5.666140	0.000000	89.275986	10.045317	89.275986	10.045317
bio_fMet_1.fast5	4b2a01ee-b62d-4a90-b4ce-e8f9684f3a44	0d26c5e49065de298ad7fec99bc0283100a8df63	0	7	1	1916.289177	4.609562	1388	TRUE	1918.535857	711	2.362882	77	7.153280	0.000000	112.264503	12.878222	112.264503	12.878222
bio_Phe_1.fast5	2bccfae0-8a2a-48ab-abee-5477e6d0351b	40763f9af2615d6629c2f906629d8e17d0d531a7	0	334	1	2113.244688	4.543493	1368	TRUE	2116.236388	467	1.551793	68	8.878427	0.000000	89.739868	14.184236	89.739868	14.184236
syn_fMet_2.fast5	3eeb9b52-3495-46f3-b19c-d1168deaa76f	38f3b854f12f916133c666cb766a30fa7ea50036	0	19	2	567.979748	4.666999	1405	FALSE	567.979748	1405	4.666999	194	6.245988	0.000000	93.632301	16.998299	93.632301	16.998299
bio_Lys_1.fast5	00dc09f3-e821-4afc-9ea1-cd613e964936	6853bfdc5825d621cc3e4fe7e1bcca70cb4378d3	0	469	1	183.586985	4.620186	1391	FALSE	185.666335	765	2.540837	101	6.492362	0.000000	107.223045	11.332517	107.223045	11.332517
syn_Phe_2.fast5	6a402505-617c-4969-a56c-02416093d66f	e39a56265317561e38e69be8d66badcbedb1b716	0	471	2	226.735060	4.617862	1390	FALSE	229.186919	652	2.166003	92	6.209834	0.000000	101.817741	9.368886	101.817741	9.368886
syn_Lys_2.fast5	0f660fe5-f18a-4e05-af49-2c3fcc176e0c	3d06a337b79be864b165e634cc81fafe50139aed	0	460	4	3985.242696	4.516600	1360	FALSE	3986.927623	852	2.831673	107	6.245977	0.000000	98.047951	8.771967	98.047951	8.771967
syn_fMet_1.fast5	2acd612d-5d5b-4c5c-b287-e5f5fd37de82	d690d7b99c62f0553a9e389db1d064aad79159b1	0	1	1	8882.724768	4.165007	1254	TRUE	8885.883134	303	1.006640	63	9.051852	0.000000	118.280128	17.727837	118.280128	17.727837
bio_Phe_2.fast5	3b7d2d82-92e8-4266-a37a-6ea593865ecf	40763f9af2615d6629c2f906629d8e17d0d531a7	0	390	4	2664.957503	4.915007	1480	FALSE	2667.310425	771	2.562085	56	6.108056	0.000000	97.604393	8.988030	97.604393	8.988030
bio_fMet_2.fast5	5ee5fa8d-b504-48cf-82c3-6a97087253b3	caf57096fcd614b49b6aa0a87f512b235585aff1	0	250	3	465.212483	4.039509	1216	FALSE	465.212483	1216	4.039509	164	4.934601	0.000000	88.720963	13.294150	88.720963	13.294150
bio_Lys_2.fast5	0fd146a8-ceac-4feb-a1bf-fe14d8f89cb0	72d415b3f68fefba13aff64393c06b501df750f2	0	164	2	1865.043161	4.910691	1479	TRUE	1865.240372	1419	4.713479	153	7.532097	0.000000	114.364151	14.803481	114.364151	14.803481
